question5 = "Please describe what are users' rights related to the data items found in your response to question2"	20 clusters
GPT:  Right to deactivate account to stop data collection.
GPT:  Right to opt-out of providing location information.
GPT:  Right to port phone number before submitting a deletion request.
GPT:  Right to Appeal: You can appeal decisions related to your privacy rights requests.
GPT:  Right to request erasure of personal data if no longer necessary or if consent is withdrawn
GPT:  Right to data portability for data based on consent or contract and processed by automated means
GPT:  Right to object to the processing of data for advertising purposes
GPT:  Users have the right to access and update their billing address.
GPT:  Users have the right to access and update their shipping address.
GPT:  Users have the right to access and update their phone number.
GPT:  Users have the right to access and update their credit card number.
GPT:  Users have the right to access and update their e-mail address.
GPT:  Users have rights under the California Privacy Rights for additional protections and access to personal information.
GPT:  Identity Data user right: Request access to your personal data
GPT:  Contact Data user right: Request correction of the personal data we hold about you
GPT:  Financial Data user right: Request erasure of your personal data
GPT:  Transaction Data user right: Object to processing of your personal data in certain circumstances
GPT:  Technical Data user right: Request restriction of processing of your personal data
GPT:  Profile Data user right: Request the transfer of your personal data to you or to a third party
GPT:  Usage Data user right: Withdraw consent at any time where we are relying on consent to process your personal data
GPT:  Marketing and Communications Data user right: Not specified in provided text
GPT:  Voice Data user right: Not specified in provided text
GPT:  Location Data user right: Not specified in provided text
GPT: . Right to erasure (right to be forgotten) under certain conditions.
GPT:  Right to restrict processing when accuracy of data is contested, processing is unlawful, or data is no longer needed but the individual opposes its erasure.
GPT:  Right to data portability allowing individuals to obtain and reuse their data across different services.
GPT:  Account Data user right: Users may request access, correction, deletion, or restrictions on processing of their Personal Data.
GPT:  Transactional And Purchase/Payment Details user right: Same as for Account Data.
GPT:  Session Data user right: Same as for Account Data.
GPT:  Full legal name user right: Right to access, correct, or delete this information.
GPT:  Mailing address user right: Right to access and request correction or deletion.
GPT:  Social Security number user right: Right to access, correct, delete, and in some jurisdictions, to restrict processing or object to processing.
GPT:  Right to request the transfer of Personal Data in a machine-readable format to another service provider.
GPT:  Users have the right to object to or restrict the processing of their Non-personally Identifiable Information.\n
GPT:  Review and edit account information right.
GPT:  Withdraw consent for future uses of your information right.
GPT:  Opt-out from receiving future commercial email or SMS messages right.
GPT:  Submit a verifiable deletion request for your information right.
GPT:  Appeal decision on the denial of your request for your information right.
GPT:  Right to restrict processing in certain cases, such as while accuracy is contested
GPT:  Online Identifiers and Usage Data users have rights to access, correct, delete, or restrict processing
GPT:  Contact Information users can access, correct, or remove their data at any time
GPT:  Candidate Information applicants can access, correct, or request deletion of their application data
GPT:  Online Identifiers and Usage Data user right to opt-out or withdraw consent for processing
GPT:  Contact Information user right to correct information and opt-out of newsletters
GPT:  Job Application Information user right to withdraw consent for processing sensitive data
GPT:  End User Data user right to consent for processing and opt-out options
GPT:  Users can request correction or deletion of their payment information.
GPT:  Users can object to the processing of their booking information on legitimate grounds.
GPT:  Students and parents can request access, review, correction, or deletion of Student personal data through their K-12 School.
GPT:  Users can opt-out of promotional communications and have rights under specific jurisdictions to control their data, including the right to be forgotten under certain conditions.
GPT:  Users have the right to access their payment information and request its deletion after inactivity
GPT:  Users have the right to object to the processing of their Interests and Demographic information and request its deletion
GPT:  Access personal information user right
GPT:  Update personal information user right
GPT:  Delete personal information user right
GPT:  Correct personal information user right
GPT:  Opt-out of processing for targeted advertising user right
GPT:  Right to delete personal information: Users can request deletion of their Weber-ID account and associated personal information.
GPT:  Right to opt-out of marketing communications: Users have the right to unsubscribe from marketing communications and adjust their preferences regarding analytics and cookies.\n\n
GPT:  Right to object to processing of personal data in certain circumstances - user right
GPT:  Right to control the collection of contact information.
GPT: . Right to manage cookie settings.
GPT:  Right to access personal data held by Joy.
GPT:  Identifiers and contact information user right to unsubscribe from commercial messages
GPT:  User Credentials user right to manage account settings
GPT:  Payment type user right to access and correct information
GPT:  User content and communications user right to control and request deletion
GPT:  Technical Information user right to manage cookies and tracking technologies
GPT:  Usage Information user right to manage cookies and tracking technologies
GPT:  Information regarding interaction with emails and messages user right to unsubscribe or manage preferences
GPT:  Information regarding performance user right to opt-out of certain data collections
GPT:  Right to know details about Personal Information collection and sharing.
GPT:  Right to be informed about the categories of personal information collected or disclosed.
GPT:  Right not to be discriminated against for exercising these rights.\n
GPT:  Users have the right to request information on the categories of personal information collected and the business purpose for collecting your personal information.
GPT:  Users have the right to appeal the denial of a request regarding their personal information.
GPT:  Right to limit interest-based advertising
GPT:  Account Information user right to delete or correct
GPT:  Device information and identifiers user right to opt out of tracking/sharing
GPT:  Connection and Usage Information user right to opt out of tracking/sharing
GPT:  Geolocation Information user right to opt out of precise location data collection
GPT:  Inferences user right to object to processing based on these inferences
GPT:  You have the right to obtain our confirmation of whether we maintain personal information relating to You in the United States user right
GPT:  You may request access to the personal information that we hold about You user right
GPT:  You may correct, amend, or delete the personal information we hold about You user right
GPT:  You have the right to request to limit the use and disclosure of Your personal information user right
GPT:  You have the right to opt-out of receiving promotional email by sending a request for removal user right\n
GPT:  Financial Data user right to access, correct or delete
GPT:  Transaction Data user right to access, correct or delete
GPT:  Business Information user right to access, correct, or delete
GPT:  Usage Data user right to access or delete
GPT:  Social Security number - You have the right to limit sharing for marketing purposes
GPT:  Income - You have the right to limit sharing for marketing purposes
GPT:  Payment history - You have the right to limit sharing for marketing purposes
GPT:  Name and contact information user right: Limiting use and sharing of CPNI.
GPT:  Driver's license number user right: Option to opt out from marketing emails.
GPT:  Social Security Number user right: Limit use and sharing of personal information for online advertising.
GPT:  Right to request Mutual of Omaha disclose certain information to you about our collection and use of your personal information.
GPT:  Right to request deletion of personal information collected by Mutual of Omaha.
GPT: . Right to be informed of the categories of personal information collected and the purposes for which such information will be used.
GPT:  Account registration user right to access, correct, or delete personal information
GPT:  Communications with Appodeal user right to opt-out of marketing communications
GPT:  Survey participation user right to decide participation and withdraw consent for processing personal information
GPT:  User right to access and review PII
GPT:  User right to update PII
GPT:  User right to delete PII
GPT:  Contact Information user right: Right to access, correct, and erase data
GPT:  Government Identification user right: Right to access, correct, and erase data
GPT:  Payment and Financial Information user right: Right to access, correct, and erase data
GPT:  Contact Information user right includes access, correction, and deletion.
GPT:  Payment Data user right includes access, correction, and opt-out of sale or sharing.
GPT:  Digital Activity user right includes access, opt-out of targeted advertising, and profiling opt-out (where applicable).
GPT:  Users have the right to access their IP address data
GPT:  Users have the right to access their device type, name, and IDs data
GPT:  Users have the right to access their name, user name, and email address data
GPT:  Users have the right to request updates or corrections to their demographic and statistical information.
GPT:  Users have the right to request deletion of their financial and transactional information.
GPT:  Users have the right to access their device and service usage data
GPT:  Users have the right to correct or update their subscription information
GPT:  Users have the right to delete or erase their payment information
GPT:  Users have the right to opt out of data collection and processing
GPT:  Users have the right to request their audio data not be collected
GPT:  Personal information user right: Opt out of receiving marketing from Visible.
GPT:  Device and advertising identifiers user right: Limit the sale and sharing of personal information for certain purposes and types of targeted advertising.
GPT:  Information from social media platforms user right: Access and control over how information from these platforms is collected and used.
CAGPT:  Device's IP address user right: Right to Know and Right to Request Deletion
CAGPT:  Geographic location (country only) user right: Right to Know and Right to Request Deletion
CAGPT:  Userâ€™s behaviour on the website user right: Right to Know and Right to Request Deletion
CAGPT:  Users have the right to understand the business/commercial purpose for collecting or selling personal information.
CAGPT:  Users have the right to be informed of any financial incentives associated with their personal information.
CAGPT:  Users have the right to designate an authorized agent to make requests on their behalf.
CAGPT:  Users have the right to request information about the retention of their personal information.
CAGPT:  Communications data user right: Right to request disclosure, correction, deletion, and to opt out of sharing
CAGPT:  Transaction data user right: Right to request disclosure, correction, deletion, and to opt out of sharing
CAGPT:  Online interaction data user right: Right to request disclosure, correction, deletion, and to opt out of sharing
CAGPT:  User right to request access, deletion, or correction of contact information
CAGPT:  Right to have their PI deleted upon request under CCPA
CAGPT:  Right to opt-out of the sale of their PI (relevant under Nevada law)
CAGPT:  Device or Browser Information user right: Right to know, delete, opt-out.
CAGPT:  Internet Activity user right: Right to know, delete, limit use and disclosure.
CAGPT:  Internet or other similar network activity user right to correct
CAGPT:  The right to know what personal information is collected about you, including the categories of personal information, the categories of sources from which the personal information is collected, the business or commercial purpose for collecting, selling, or sharing personal information, the categories of third parties to whom personal information is disclosed, and the specific pieces of personal information collected about you.
CAGPT:  The right to delete personal information that is collected from you, subject to certain exceptions.
CAGPT:  Online and network activity user right includes access and deletion.
CAGPT:  Device and OS information user right to access and deletion.
CAGPT:  Installation reports user right includes access and deletion.
CAGPT:  Products usage information user right to access and deletion.
CAGPT:  Payment and billing information user right includes access, correction, and deletion.
CAGPT:  Marketing and advertising information user right to access, correction, and opt-out.
CAGPT:  Customer support information user right includes access, correction, and deletion.
CAGPT:  Registration and account management user right to access, correct, and delete their data.
CAGPT:  Subscription information user right includes access, correction, and deletion.
CAGPT:  Analytics and BI user right to access and opt-out of data use for analytics.
CAGPT:  Right to know the purposes for collecting or disclosing personal information
CAGPT:  Right to know the categories of recipients to which personal information is disclosed
CAGPT:  Right to know the categories of personal information disclosed for a business purpose
CAGPT: . Right to request the business or commercial purpose for collecting personal information
CAGPT:  Right to request the categories of third parties with whom personal information is shared
CAGPT:  Contact information user right to know, correct, and delete.
CAGPT:  Customer service interaction information user right to know, correct, and delete.
CAGPT:  Product interaction information user right to know, correct, and delete.
CAGPT:  Internet network and device information user right to know, correct, and delete.
CAGPT:  Item 2 user right: Right to access specific information and data portability.
CAGPT:  Online Identifiers user right to access, object to processing, request correction or deletion
CAGPT:  Functional cookies user right to consent management and opt-out options
CAGPT:  Right of minors to opt-in to certain information sales.
CAGPT:  Right to Know and Data Portability
CAGPT:  Right to Revise
CAGPT:  Right to opt-out
CAGPT:  Biometric information user right: Right to know, correct, delete
CAGPT:  Education information user right: Right to know, correct, delete
CAGPT:  Other information linked to the personal information above user right: Right to know, correct, delete, and opt-out of sale or sharing
CAGPT:  Right to request disclosure of personal information categories described in subdivision (e) of Section 1798.80
CAGPT:  Right to opt-out of sale of characteristics of protected classifications
CAGPT:  Right to access internet or other electronic network activity information
CAGPT:  Right to access geolocation data
CAGPT:  Right to request deletion of audio, electronic, visual, thermal, olfactory, or similar information
CAGPT:  Right to access professional or employment-related information
CAGPT:  Right to request disclosure of education information
CAGPT:  Right to request correction of inferences drawn
CAGPT:  Right to correct inaccurate personal information as described in California customer records statute
CAGPT:  Right to limit the use or disclosure of internet or other similar network activity information
CAGPT:  Right to know what sensory data is being used and for what purpose
CAGPT:  Right to correct incorrect inferences about consumer preferences, characteristics, and behavior
CAGPT:  Protected classification characteristics under California or federal law user right to non-discrimination for exercising CCPA rights
CAGPT:  Internet or other similar network activity user right to request that personal information not be sold
CAGPT:  Geolocation data user right to opt-out of third-party disclosures
CAGPT:  Right to equal service and price regardless of exercising privacy rights
CAGPT:  Right to not have personal information sold or shared
CAGPT:  Location Information user right to access, delete, correct
CAGPT:  User has the right to a transportable copy of their personal information
CAGPT:  Sensitive Information user right includes the right to know, access, and delete
CAGPT:  Item 1 user right: Right to request access to categories and specific pieces of personal information
CAGPT:  Right to Know and Access
CAGPT:  Right to Opt Out
CAGPT:  Right of No Retaliation
CAGPT:  Shine the Light
CAGPT:  Users have the right to request information about the collection of their unique identifiers
CAGPT:  Users have the right to request information about the collection of their financial information
CAGPT:  Users have the right to request information about the collection of their purchase history
CAGPT:  Users have the right to request information about the collection of their internet activity
CAGPT:  Users have the right to request information about the collection of their geolocation data
CAGPT:  Contact and account information user right: Right to know, access, and delete.
CAGPT:  Financial and transactional information user right: Right to know, access, and delete.
CAGPT:  Customer service interaction information user right: Right to know, access, and delete.
CAGPT:  User-generated content user right: Right to know, access, and delete.
CAGPT:  Employment application information user right: Right to know, access, and delete.
CAGPT:  Information collected through automated means user right: Right to know, access, and delete.
CAGPT:  Right to Know, Delete, and Correct Applicant Personal Information
CAGPT:  The right to download a copy of personal information
CAGPT:  The right to designate an authorized agent for making requests
CAGPT:  Item 1 user right: The right to access and disclosure and portability.
CAGPT:  Item 2 user right: The right to nondiscrimination.
CAGPT:  Sensory data user right includes Right to Know and Data Portability, and Right to Delete.
CAGPT:  Commercial Information user right not specified
CAGPT:  User-Created Data user right not specified
CAGPT:  Geolocation Information user right not specified
CAGPT:  Sites Activity user right not specified
CAGPT:  Usage Analytics user right not specified
CAGPT:  Communication Recordings user right not specified
CAGPT:  Non-Public Education Information user right: Request disclosure, deletion, correction, and access.
CAGPT:  Background Screening Information user right: Request disclosure, deletion, correction, and access.
CAGPT:  Contact Information user right
CAGPT:  Financial and Transactional Information user right
CAGPT:  Sensitive Personal Information user right
CAGPT:  Activity Information user right
CAGPT:  Call Information user right
CAGPT:  Device and Usage Information user right
CAGPT:  Information Collected by Cookies and Similar Tracking Technologies user right
CAGPT:  Geolocation data user right
CAGPT:  Audio, electronic, or similar information user right
CAGPT:  Inferences drawn from any of the information user right
CAGPT:  Postal or email address user right includes opting out of the sale of personal information
CAGPT:  Right to use an authorized agent to submit requests
CAGPT:  Right to request correction of personal information collected and retained, subject to certain exceptions.
CAGPT:  Financial Information user right includes right to know, delete, correct.
CAGPT:  Inferences about you user right includes right to know, delete, correct.
CAGPT:  Biometric information user right includes right to know, delete, correct.
CAGPT:  Right to non-retaliation if rights are exercised
CAGPT:  Right to opt-out
CAGPT:  Right to use an authorized agent to make a request under the CCPA on the consumer's behalf.
CAGPT:  \n    5.1 Right to Know: California residents have the right to know the categories of personal information collected about them and the categories of sources for the personal information collected.\n    5.2 Right to Delete: California residents have the right to request deletion of personal information collected from them.\n    5.3 Right to Correct: California residents have the right to correct inaccurate personal information collected from them.\n    5.4 Right to Opt-Out of Sale or Sharing: California residents have the right to opt-out of the sale or sharing of their personal information.\n    5.5 Right to Nondiscrimination: California residents have the right not to receive discriminatory treatment for exercising their privacy rights.
CAGPT:  Protected classification characteristics under California or federal law user right to not be discriminated against for exercising CCPA rights
CAGPT:  Biometric information user right to deletion
CAGPT:  Professional or employment-related information user right to not be discriminated against for exercising CCPA rights
CAGPT:  Inferences drawn from other personal information user right to access specific information and portability
CAGPT:  Right not to be discriminated against for exercising consumer rights
CAGPT:  Internet activity information user right to know and data portability
CAGPT:  Right to limit the use and disclosure of sensitive personal information; opt-out of personal information sharing; access to specific information and data portability; correct/rectify personal information; delete personal information.
CAGPT:  Same as 5.1
CAGPT:  Same as 5.1
CAGPT:  Same as 5.1
CAGPT:  Same as 5.1
CAGPT:  Government ID number user rights not specified
CAGPT:  Physical description user rights not specified
CAGPT:  Health/medical information user rights not specified
CAGPT:  Insurance information user rights not specified
CAGPT:  Protected class data user rights not specified
CAGPT:  Biometric data user rights not specified
CAGPT:  Audio, visual, olfactory information user rights not specified
CAGPT:  Employment information user rights not specified
CAGPT:  Education information user rights not specified
CAGPT:  Inferences user rights not specified
CAGPT:  Characteristics of protected classifications and demographic information user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Contact Information user right: Request to know, request to delete.
CAGPT:  Account Registration Information user right: Request to know, request to delete.
CAGPT:  Communications and Inquiries user right: Request to know, request to delete.
CAGPT:  Cookies and Similar Technologies user right: Request to know, request to delete.
CAGPT:  Device and Usage Information user right: Request to know, request to delete.
CAGPT:  Deletion Request Rights
CAGPT:  Non-Discrimination Policy
CAGPT:  Categories described in Cal. Civ. Code Â§ 1798.80(e) user right to know, delete, correct
CAGPT:  Identifiers user right includes the right to know what personal information is being collected, the right to access, and the right to equal service and price even after exercising privacy rights.
CAGPT:  Geolocation data user right includes the right to know what personal information is being collected, the right to access, and the right to equal service and price even after exercising privacy rights.
CAGPT:  Any other information you choose to provide user right includes the right to know what personal information is being collected, the right to access, and the right to equal service and price even after exercising privacy rights.
CAGPT:  Users have the right to request JobDiva, Inc. for access, portability, or deletion of cookies
CAGPT:  Users have the right to request access, portability, or deletion of their resumes, CVs, on-boarding documents, and further forms of personal information from JobDiva, Inc.'s clients
CAGPT:  Users have the right to request access, portability, or deletion of their email communications from JobDiva, Inc.'s clients
CAGPT:  Non-Discrimination
CAGPT:  Data Portability: Request a copy of personal information held about you
CAGPT:  Right to Restrict or Limit the Use of Sensitive Personal Information\n
CAGPT:  Categories of personal information as per Section 1798.80(e) user right: Access, correction, and opt-out rights.
CAGPT:  Characteristics of protected classifications user right: Right to non-discrimination for exercise of privacy rights.
CAGPT:  Biometric information user right: Opt-out of sale or sharing.
CAGPT:  Internet or other electronic network activity information user right: Right to limit use and disclosure.
CAGPT:  Geolocation data user right: Opt-out and data portability rights.
CAGPT:  Professional-related information user right: Right to correct inaccurate information.
CAGPT:  California Customer Records statute information user right to correction and access
CAGPT:  Geolocation data user right to limit collection and usage
CAGPT:  Audio, electronic, visual, thermal, olfactory, or similar information user right to control and secure storage
CAGPT:  Education information user right to access and portability
CAGPT:  Inferences drawn from collected information user right to access and challenge profiling
CAGPT:  Right to request disclosure of information collected and its use (Right to Know and Data Portability).
CAGPT:  Biometric information user right to access, know, opt-out, delete, correct
CAGPT:  Inferences drawn from any of the information identified to create a profile user right to access, know, opt-out, delete, correct
CAGPT:  Sensitive Data Under CPRA user right to access, know, opt-out, delete, correct
CAGPT:  Special Categories Under GDPR user right to access, know, opt-out, delete, correct
CAGPT: \nRights related to data from question 2:
CAGPT:  Right to know and request deletion of Protected classification characteristics
CAGPT:  Right to know and request deletion of Commercial information
CAGPT:  Right to know and request deletion of Inferences drawn from other personal information
CAGPT:  Characteristics of protected classifications user right: Right to request access, correction, or deletion
CAGPT:  Personal information described in Cal. Civ. Code Â§1798.80(e) user right: Right to request access, correction, or deletion
CAGPT:  Users have the right to request information on how their identifiers are collected, used, and shared.
CAGPT:  Users have the right to request information on how their characteristics of protected classifications are collected, used, and shared.
CAGPT:  Users have the right to request information on how their commercial information is collected, used, and shared.
CAGPT:  Users have the right to request information on how their Internet or Other Electronic Network Activity Information is collected, used, and shared.
CAGPT:  Users have the right to request information on how their Geolocation Data is collected, used, and shared.
CAGPT:  Users have the right to request information on how their Professional or Employment-Related Information is collected, used, and shared.
CAGPT:  Users have the right to request information on how their inferences are collected, used, and shared.
CAGPT:  Users have the right to request information on how their personal information described in Cal. Civ. Code Â§1798.80(e) is collected, used, and shared.
CAGPT:  Users have the right to request information on how their audio, electronic, visual or similar information is collected, used, and shared.
CAGPT:  Users have the right to correct inaccurate sensitive personal information and to delete it, with exceptions.
CAGPT:  Financial information right to request access and deletion
CAGPT:  Purchase history right to request access and deletion
CAGPT:  Right to opt out of email communications and sharing of contact information with third parties
CAGPT:  Commercial Information/Purchase Details user right to request access and deletion
CAGPT:  Users have the right to be warned about chemical exposures
CAGPT:  Users have the right to request personal information not be shared for marketing
CAGPT:  Users have rights related to their job application data as per Marvin HR Privacy Policy
CAGPT:  Payment Information user right to delete their Personal Information
CAGPT:  Product Information user right not to be subject to discriminatory treatment for exercising their privacy rights
CAGPT:  Internet Or Other Electronic Network Activity Information user right to submit a verifiable request to know the business or commercial purposes for collection
CAGPT:  Inferences user right to have an authorized agent exercise their rights
CAGPT:  The right to know the categories and specific pieces of personal information collected; user right
CAGPT:  The right to know what personal information is collected, the sources, purposes for collecting, and to whom it is disclosed
CAGPT:  Right to notice
CAGPT:  Right to access
CAGPT:  Right to equal services
CAGPT:  Commercial information user right  
CAGPT:  Approximate Geolocation data user right  
CAGPT:  Audio, electronic, visual, or similar information user right  
CAGPT:  Inferences user right  
CAGPT:  Personal Information Categories user right to know, delete, correct
CAGPT:  Protected Classification Characteristics user right to know, delete, correct
CAGPT:  Shine the Light Request - right to request information about personal information disclosed to third parties for direct marketing
CAGPT:  The right to request that we disclose certain information to you about our collection and use of your Personal Information
CAGPT:  The right to request NetDocuments not to â€œsellâ€ your Personal Information
CAGPT:  Customer Records Data user right includes right to access, data portability, and deletion
CAGPT:  Right to access and disclosure and portability for Identifiers
CAGPT:  Right to access and disclosure and portability for Internet Data
CAGPT:  Right to access and disclosure and portability for Geo-location Data
CAGPT:  Right to request not to share personal information
CAGPT:  Right to opt-in to financial incentives and revoke consent at any time
CAGPT:  Right to designate an authorized agent for CCPA requests
CAGPT:  For Identifiers, users have the right to request access to specific information and data portability rights for personal information collected over the past 12 months.
CAGPT:  Opt-Out from the User and/or Sharing of Your Sensitive Personal Information
CAGPT:  Deletion Request Rights
CAGPT:  Right to Request Deletion of personal information collected by Spectrum.
CAGPT:  Right to Correct Inaccurate Personal Information maintained by Spectrum.
CAGPT:  Right to delete Biometric information
CAGPT:  Right to know about the collection, use, and sharing of PI
CAGPT:  Protected Personal Characteristics user right is to request access, correction, or deletion
CAGPT:  Education Information user right is to request access
CAGPT:  Inference Information user right is to request access
CAGPT:  Biometric Information user right is to request access, correction, or deletion
CAGPT:  Right to non-discrimination in service quality or pricing for exercising privacy rights concerning Internet or Other Similar Network Activity
CAGPT:  Right of correction for inaccurate Geolocation Data
CAGPT:  The right to know the categories and specific pieces of personal information user right
CAGPT:  Protected Class Information user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Audio/Video Data user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Right to opt-out of the sale of personal information (although it states no sale of personal information occurs)\n
CAGPT:  Right to access Personal Identifiers, Internet Activity, Commercial Information, and Financial Information
CAGPT:  Right to delete Personal Identifiers, Internet Activity, Commercial Information, and Financial Information
CAGPT:  Right to correct inaccuracies in Personal Identifiers, Internet Activity, Commercial Information, and Financial Information
CAGPT:  Right to Access
CAGPT:  Right to Opt-Out
CAGPT:  Device Information and Online Activity user right to access, correct, delete, and restrict processing.
CAGPT:  Communications user right to access, correct, delete, and restrict processing.
CAGPT:  Demographic Information user right to access, correct, delete, and restrict processing.
CAGPT: . Item 4 user right: The Right to Rectify Inaccurate Personal Information
CAGPT: . Item 5 user right: The Right to Limit the Use and Disclosure of Sensitive Personal Information
CAGPT: . Item 6 user right: The Right to Non-Discrimination for Exercising Your Privacy Rights
CAGPT: . Item 7 user right: Participation in Financial Incentives with opt-in and opt-out provisions
CAGPT: . Item 8 user right: Not specifically mentioned
CAGPT:  Right to request that we disclose certain information to you about our collection and use of your personal information over the past 12 months.
CAGPT:  Right to request that we correct any of the personal information that we collected from you and retained, subject to certain exceptions.\n
CAGPT:  Right to access Identifiers collected
CAGPT:  Right to access California Customer Records personal information collected
CAGPT:  Right to access protected classification characteristics collected
CAGPT:  Right to access commercial information collected
CAGPT:  Right to access internet or other similar network activity collected
CAGPT:  Right to access geolocation data collected
CAGPT:  Right to access sensory data collected
CAGPT:  Right to access professional or employment-related information collected
CAGPT:  Right to access education information collected
CAGPT:  Right to access inferences drawn from other personal information collected
CAGPT:  Right to opt out and limit the use of personal data.
CAGPT:  Right to have an authorized person make a request on one's behalf.
CAGPT:  Right not to be discriminated against for exercising these rights.
CAGPT:  Protected classification characteristics under California or federal law user right: Non-Discrimination for exercising CCPA rights.
CAGPT:  Categories of personal information described in Cal. Civ. Code Â§ 1798.80(e) user right: Request to know, request to delete, and the right to opt-out of sale
CAGPT:  Users have the right to opt-out of certain uses of sensitive personal information
CAGPT:  Right to Know for "Sensitive Personal Information"
CAGPT:  Right to Delete for "Identifiers"
CAGPT:  Right to Correct for "Other Personal Information"
CAGPT:  Right to Limit Use of "Protected Characteristics"
CAGPT:  Right to Non-Discrimination for exercising rights related to "Internet or Network Activity"
CAGPT:  Employees / Former Employees / Applicants rights for "Biometric Information"
CAGPT:  Right to Know, Delete, or Correct for "Geolocation"
CAGPT:  Right to Opt-Out of sharing for cross-contextual behavioral advertising for "Sensory Data"
CAGPT:  Right to Limit Use of Sensitive Personal Information for "Inferences"
CAGPT:  Right to Access
CAGPT:  Contact and Financial Information user right
CAGPT:  Characteristics of Protected Classifications user right
CAGPT:  Commercial information user right includes the option to access, correct, and delete this category of data.
CAGPT:  Right to receive requested information in a readily-usable format
CAGPT:  Right to Access Specific California Personal Information
CAGPT:  Right to know and access Identifiers
CAGPT:  Right to delete Commercial Information
CAGPT:  Right to correct Internet or Other Electronic Network Activity Information
CAGPT:  Right to opt-out of the sale or sharing of Inferences Drawn from Personal Information
CAGPT:  Characterizations of protected classes user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Inferences used to create a profile user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Personal Records user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Personal Characteristics or Traits user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Internet Usage Information user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Inferences from PI Collected user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Internet or other similar network activity user right to non-discrimination for exercise of privacy rights
CAGPT:  Inferences drawn from other personal information user right to opt-out of sales
CAGPT:  Right to Know and Access.
CAGPT:  Right of No Retaliation Following Opt-Out or Exercise of Other Rights.
CAGPT:  Inferences Drawn of the Consumer user right: Right to Know, Right of Deletion, Right to Opt-Out, Right of Correction, Right to Non-Discrimination
CAGPT:  Users have the right to request disclosure regarding the collection and use of their personal information
CAGPT:  Personal Information listed in Cal. Civ Code 1798.80(e) user right: Right to know, access, and delete.
CAGPT:  The right to know the business or commercial purpose for collecting or selling personal information.
CAGPT:  The right to know the categories of third parties with whom the personal information is shared.
CAGPT:  User right to request information on unique identifiers collected
CAGPT:  User right to request deletion of financial information
CAGPT:  User right to opt-out of sale of purchase history
CAGPT:  User right to request information on internet activity collected
CAGPT:  Right to request deletion of financial information
CAGPT:  Right to request deletion of purchase history
CAGPT:  Biometric information user right includes the right to access, portability, and deletion.
CAGPT:  Inferences drawn from other personal information user right includes the right to access, portability, and deletion.
CAGPT:  Users have the right to request access to and deletion of their internet or other electronic network activity information.
CAGPT:  Browsing activity user right to request correction if inaccurate or incomplete
CAGPT:  Information submitted through forms user right to access and request an extract of personal information
CAGPT:  Identifiers user right: Not specified
CAGPT:  Demographic and statistical information user right: Not specified
CAGPT:  Customer service information user right: Not specified
CAGPT:  Application information and communications with others user right: Not specified
CAGPT:  Financial information user right: Not specified
CAGPT:  Survey, research, feedback, or sweepstakes information user right: Not specified
CAGPT:  Social media information user right: Not specified
CAGPT:  Business information user right: Not specified
CAGPT:  Internet network and device activity data user right: Not specified
CAGPT:  Geolocation information user right: Not specified
CAGPT:  Audio or visual information user right: Not specified
CAGPT:  Information about others user right: Not specified
CAGPT:  Events and programs information user right: Not specified
CAGPT:  Any other information provided user right: Not specified
CAGPT:  California residents have the right to request and obtain information about Personal Data disclosed to third parties for direct marketing purposes once a year, free of charge.
CAGPT:  Users under the age of 18 who are California residents have the right to request and obtain removal of content or information they have publicly posted on U.S. Soccer Websites or digital applications.
CAGPT:  Right to opt-out of the use of automated decision making
CAGPT:  Online identifiers, IP address, unique identifiers user right: Access, deletion, correction, opt-out of sharing for cross-contextual behavioral advertising, limit the use or disclosure of SPI, opt-out of automated decision making, non-discrimination, data portability
CAGPT:  Real name, email address, account name user right: Access, deletion, correction, opt-out of sharing for cross-contextual behavioral advertising, limit the use or disclosure of SPI, opt-out of automated decision making, non-discrimination, data portability
CAGPT:  Approximate location user right: Access, deletion, correction, opt-out of sharing for cross-contextual behavioral advertising, limit the use or disclosure of SPI, opt-out of automated decision making, non-discrimination, data portability
CAGPT:  Additional Data Subject to Cal. Civ. Code Â§ 1798.80 user right includes access, deletion, and opt-out of sale
CAGPT:  Protected Classifications user right includes access, deletion, and opt-out of sale
CAGPT:  Online Activity user right includes access, deletion, and opt-out of sale
CAGPT:  Financial data such as credit card information user right to access and request deletion
CAGPT:  Users have the right to request to know the specific pieces of personal information collected about them.
CAGPT:  Right to access and data portability for identifiers
CAGPT:  Right to opt-out of sales of personal information (not applicable, as we do not sell personal information)
CAGPT:  Right to limit use and disclosure of sensitive personal information (not applicable, as we do not collect sensitive personal information pursuant to this California Privacy Notice)
CAGPT:  The right to limit the use and disclosure of your Sensitive Personal Information to the purpose of providing you with services
CAGPT:  Identifiers, Profile Data, and Login Information user right to know, access, correct, and delete.
